26-01-2014,Republic Day
16-02-2014,Milad-Un-Nabi or Id-E-Milad 
2/3/2014,Mahashivratri
16-04-2011,Mahavir Jayanti
22-04-2011,Good Friday
17-05-2011,Budha Purnima
15-08-2011,Independence Day
22-08-2011,Janamashtami (Vaishnavi)
31-08-2011,Id-ul-Fitr
1/9/2011,Ganesh Chaturthi/ Vinayak Chaturthi 
2/10/2011,Mahatma Gandhi's Birthday
6/10/2011,Dussehra (Vijaya Dashmi) 
26-10-2011,Diwali (Deepavali)
7/11/2011,Idul-Zuha (Bakrid)
10/11/2011,Guru Nanak’s Birthday
6/12/2011,Muharram
25-12-2011,Christmas Day
