1/1/2014,New Year’s day
5/1/2014,Guru Govind Singh’s Birthday
14-01-2014,Makara  Sankranti
15-01-2011,Pongal 
8/2/2011,Basanta Panchami/ Sri Panchami 
18-02-2011,Guru Ravidas Birthday 
19-02-2011,Shivaji Jayanti 
27-02-2011,Swami Dayanand Saraswati Jayanti
20-03-2011,Holika Dahan (Dol Yatra)
4/4/2011,Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand 
14-04-2011,Vaisakhi 
14-04-2011,Vishu
14-04-2011,Mesadi
15-04-2011,Vaisakhadi (Bangal)/Bahag Bihu (Assam)
24-04-2011,Easter (Sunday)
9/5/2011,Guru Rabindranath’s Birthday
30-05-2011,Goa Statehood day 
16-06-2011,Hazarat Ali’s Birthday
13-08-2011,Raksha Bandhan
19-08-2011,Parsi New Year’s day 
26-08-2011,Jamat-ul-Vida
31-08-2011,Hartalika 
9/9/2011,Onam
3/10/2011,Maha Saptami (Additional)
5/10/2011,Dussehra (Maha Navmi)
11/10/2011,Maharishi Valmiki’s Birthday
26-10-2011,Deepavali (South India)
26-10-2011,Narak Chaturdasi
1/11/2011,Pratihar Sashthi or Surya Sashthi (Chhat Puja) 
24-11-2011,Guru Teg Bahadur’s Martyrdrom Day
3/12/2011,Feast of St. Francis Xavier
8/12/2011,Feast of Immaculate Conception
19-12-2011,Goa Liberation Day 
24-12-2011,Christmas Eve
26-12-2011,Boxing Day
31-12-2011,New Year’s Eve
